StudentID,Name,Email,Phone,Department,CGPA,Semester,DegreeProgram
57,Michael Perry,kennethhenderson@example.net,(601)854-3611x5,BSIT,2.11,8,BS Information Technology
58,James Smith,vanessaromero@example.com,804.286.2178,BBA,3.84,3,Bachelor of Business Administration
59,Diane Quinn,dsullivan@example.org,5706971067,BSCS,3.92,2,BS Computer Science
60,Catherine Rowland,lmartinez@example.org,001-477-411-015,BSSE,2.14,2,BS Software Engineering
61,Paul Mendez,marie58@example.org,611.893.4094x79,BSSE,2.81,4,BS Software Engineering
62,William Stout,jamesmoore@example.net,001-601-320-267,BBA,3.19,2,Bachelor of Business Administration
63,Michele Lester,hwilliams@example.net,001-603-210-531,BSAI,3.31,6,BS Artificial Intelligence
64,Sarah Berg,michael49@example.net,503.862.4882,BSIT,2.41,6,BS Information Technology
65,Michael Rodriguez,trevinomichelle@example.net,001-226-539-911,BSSE,2.53,3,BS Software Engineering
66,Allen Flores,randalljackson@example.org,7654129942,BSIT,2.91,2,BS Information Technology
67,Lisa Pittman,robertwilliams@example.org,+1-877-855-5981,BSCS,2.92,2,BS Computer Science
68,Jerry Garrison,david17@example.net,001-715-581-457,BSCS,3.08,5,BS Computer Science
69,Lance Thomas,jackmarshall@example.net,(899)543-1656,BSSE,3.87,2,BS Software Engineering
70,Nathan Anderson,edward04@example.org,(264)579-9611,BSSE,2.74,3,BS Software Engineering
71,Scott Conway,vharris@example.com,+1-818-566-8750,BSAI,3.67,5,BS Artificial Intelligence
72,Amy Jackson,megan58@example.com,001-558-201-293,BBA,3.97,1,Bachelor of Business Administration
73,Ruben Hernandez,linanthony@example.org,721-411-3741x60,BBA,2.6,2,Bachelor of Business Administration
74,Joseph Adams,mphillips@example.org,+1-472-794-6132,BSSE,2.53,2,BS Software Engineering
75,Morgan Graham,susanharris@example.net,001-846-307-596,BBA,2.31,5,Bachelor of Business Administration
76,Cassandra Rodriguez,tylerlane@example.net,402.891.9142x34,BBA,2.42,6,Bachelor of Business Administration
77,Mario Stokes,andrewmccullough@example.net,+1-886-313-6142,BSSE,3.37,5,BS Software Engineering
78,Crystal Fields,morgan67@example.com,(656)277-6683x0,BBA,2.98,1,Bachelor of Business Administration
79,Alexander Reynolds,megan98@example.net,+1-474-956-0998,BSCS,3.27,5,BS Computer Science
80,David Johnson,lisahicks@example.net,618.693.7961x17,BSCS,2.01,3,BS Computer Science
81,Brian Schmidt,charles43@example.net,001-718-520-891,BSIT,2.32,8,BS Information Technology
82,Geoffrey Sawyer,sandra40@example.com,(786)879-9100,BBA,3.41,1,Bachelor of Business Administration
83,Justin Walls,cheryl96@example.net,593.928.9377,BSCS,2.15,3,BS Computer Science
84,Mark Young,laurenjohnson@example.org,(789)258-9647,BBA,2.07,6,Bachelor of Business Administration
85,Lisa Mcpherson,srobbins@example.org,(217)642-8161x7,BBA,3.11,7,Bachelor of Business Administration
86,Maria Walton,deannafrazier@example.org,001-352-647-366,BSSE,2.08,6,BS Software Engineering
87,Jennifer Simon DDS,cburke@example.org,+1-277-882-6587,BSCS,3.8,4,BS Computer Science
88,James Carrillo,ramirezsarah@example.net,293-854-2708x36,BSSE,3.33,6,BS Software Engineering
89,Haley Larson,bryantgreg@example.com,+1-932-928-2394,BBA,3.77,7,Bachelor of Business Administration
90,Lydia Davis,tcook@example.net,432-982-4398,BBA,3.5,4,Bachelor of Business Administration
91,Sara Carter,ronaldwillis@example.net,7273430465,BSSE,3.95,3,BS Software Engineering
92,Traci Sims,susansnyder@example.com,814.916.5571x31,BSAI,2.05,6,BS Artificial Intelligence
93,Debra Morris,vwilliams@example.com,948-234-6722x32,BSAI,3.6,4,BS Artificial Intelligence
94,Stephen Dennis,phenderson@example.com,(525)831-1150,BSIT,2.32,2,BS Information Technology
95,Gary Maddox,fwalters@example.net,001-708-653-608,BSAI,3.74,8,BS Artificial Intelligence
96,Annette Armstrong DDS,ehiggins@example.net,001-308-717-230,BSSE,2.4,8,BS Software Engineering
97,Lori Maynard,jake48@example.org,8495190811,BSIT,2.61,4,BS Information Technology
98,Michelle Bishop,cristianjenkins@example.org,461.605.9157x78,BSSE,2.05,4,BS Software Engineering
99,James King,christopherchapman@example.com,+1-562-433-9130,BSAI,2.66,2,BS Artificial Intelligence
100,Christopher Hughes,loweeduardo@example.net,885-448-2586x99,BSIT,2.7,7,BS Information Technology
